	Descricao
3498	JOELHO 45 SOLD DN20 PLASTUBO
3499	CAP SOLD DN50 PLASTUBO
3500	ROLO DE ACO ZINCO 0,43X50CM#
3501	ROLO DE ACO ZINCO 0,43X60CM#
3502	ROLO DE ACO ZINCO 0,43X70CM#
3503	ROLO DE ACO ZINCO 0,43X80CM#
3504	ROLO DE ACO ZINCO 0,43X100CM#
3505	BENGALA 32MM #
3506	CONCHA DE EMBUTIR ISERO#
3507	FITA ISOLANTE USO GERAL 20M TIGRE
3508	MASSA ACRILICA 22KG SUPER COLA #
3509	TRINCHA 2.1/2 POLEGADA ROMA#
3510	TRINCHA 2 POLEGADA ROMA #
3511	ARUELA 3/8 #
3512	SIFAO COPO BR ROSC PIA AMARCO
3513	TRINCHA 1.1/2 POLEGADA ROMA#
3514	MANGUEIRA SAÍDA MAQU. LAVAR 1X1,40M PLAS
3515	DESEMP DE ACO P/GESSO 30X12 FOXLUX
3516	REVEST THOR CERAMICO 373X592 HD 2,43
3517	PISO TRAFFIC STONE 54X54 HD 2,62 ARIELLE
3518	BACIA/CAIXA ACOPL.SAVEIRO PT CELITE
3519	VEDANTE CARRAPETA #
3520	PSI66180A PEDRA MOSAICO BEGE 58X58 INCE
3521	PISO 66510 A ESMALTADO 58X58 2,68 INCEN
3522	RVI70530A ESMALT HD AGUA MARINHA 33X50
3523	PSI66070A ESMALTADO 35X35 ENG.IMP INCE
3524	RVE35630A ENCAIXE PONTA NEGRA 35X59
3525	ROLO LA NATURAL 50MM TIGRE 1383
3526	ROLO LA NATURAL 150MM TIGRE 1383
3527	LAMP HIGH LED TKL 270 / 50W 6500K E27-78
3528	TINTA PINTALAR 3,6LT BRANCO GELO #
3529	PORCA BORBOLETA 3/8" % ZINC UNC - CISER
3530	PORCA BORBOLETA 1/2" ZINC UNC % - CISER
3531	PORCA BORBOLETA 1/4" % ZINC UNC - CISER
3532	PORCA SX TRAVANTE UNC 3/8X9/16%CISER
3533	CADEADO PAPAIZ CR-25MM LATAO
3534	CADEADO PAPAIZ 45MM LATAO
3535	CADEADO PAPAIZ EMB.BLISTER 20MM
3536	CADEADO PAPAIZ CR-35MM LATAO
3537	CADEADO PAPAIZ CR-40MM LATAO
3538	CADEADO PAPAIZ CR-30MM LATAO
3539	CHURRASQUEIRA TIJOLINHO GRANDE AMARELA
3540	CHURRASQUEIRA TIJOLINHO GRANDE VERMELHA
3541	CHURRASQUEIRA TIJOLINHO MEDIA AMARELA
3542	CHURRASQUEIRA TIJOLINHO MEDIA PRETA
3543	CHURRASQUEIRA TIJOLINHO MEDIA VERMELHA
3544	CHURRASQUEIRA TIJOLINHO PEQUENA AMARELA
3545	CHURRASQUEIRA TIJOLINHO PEQUENA VERMELHA
3546	DUTO ALONGADOR TIJOLINHO AMARELO
3547	DUTO ALONGADOR TIJOLINHO PRETO
3548	DUTO ALONGADOR TIJOLINHO VERMELHO
3549	KIT CLASSIC CHURRASQUEIRA GRANDE
3550	KIT CLASSIC CHURRASQUEIRA MEDIO
3551	KIT CLASSIC CHURRASQUEIRA PEQUENO
3552	BROXA RETANGULAR 18X7,6CM ROMA
3553	LIXA MASSA G100 QUARTZOLIT
3554	BOINA LA POLIM 5 127MM ROMA
3555	BOLA MACICA C/ CORDA 2 NOS 50MM
3556	BOLA ATOMO - 58MM
3557	BOLA BORRACHA CRAVO 43MM
3558	BOLA BORRACHA CRAVO 53MM
3559	BOLA BORRACHA CRAVO 66MM
3560	BEBEDOURO PELOS LONGOS AZUL 1000ML
3561	BEBEDOURO PELOS LONGOS ROSA 1000ML
3562	BEBEDOURO PELOS LONGOS VERMELHO 1000ML
3563	COMEDOURO ANTIFOR DUP MC TOTAL 1000ML AZ
3564	COMEDOURO ANTIFOR DUP MCTOTAL 1000ML ROS
3565	COMEDOURO ANTIFOR DUP MCTOTAL 1000ML VER
3566	COMEDOURO DUPLO GATO CAP TOTAL 380ML AZU
3567	COMEDOURO DUPLO GATO CAP TOTAL 380ML RSA
3568	COMEDOURO DUPLO GATO CAP TOTAL 380ML VER
3569	COMEDOURO ELEVADO PARA GATOS 200ML AZUL
3570	COMEDOURO ELEVADO P/GATOS 200ML ROSA
3571	COMEDOURO ELEVADO P/GATOS 200ML VERM
3572	COMEDOURO PLASTICO 300ML AZUL
3573	COMEDOURO PLASTICO 300ML ROSA
3574	COMEDOURO PLASTICO 300ML VERMELHO
3575	COMEDOURO PLASTICO 600ML AZUL
3576	COMEDOURO PLASTICO 600ML ROSA
3577	COMEDOURO PLASTICO 600ML VERMELHO
3578	COMEDOURO PLASTICO 1000ML AZUL
3579	COMEDOURO PLASTICO 1000ML ROSA
3580	COMEDOURO PLASTICO 1900ML AZUL
3581	COMEDOURO PLASTICO 1900ML ROSA
3582	COMEDOURO PLASTICO 1900ML VERMELHA
3583	COMEDOURO DUPLO CAP. TOTAL 1200ML AZUL
3584	COMEDOURO DUPLO CAP TOTAL 1200ML ROSA
3585	COMEDOURO DUPLO CAP TOTAL 1200ML VERM
3586	COMEDOURO ANTIFORMIGA 350ML AZUL
3587	COMEDOURO ANTIFORMIGA 350ML ROSA
3588	COMEDOURO ANTIFORMIGA 350ML VERMELHO
3589	COMEDOURO ANTIFORMIGA 550ML AZUL
3590	COMEDOURO ANTIFORMIGA 550ML ROSA
3591	COMEDOURO ANTIFORMIGA 550ML VERMELHO
3592	COMEDOURO ANTIFORMIGA 1000ML AZUL
3593	COMEDOURO ANTIFORMIGA 1000ML ROSA
3594	COMEDOURO ANTIFORMIGA 1000ML VERMELHA
3595	COMEDOURO ANTIFORMIGA 1900ML AZUL
3596	COMEDOURO ANTIFORMIGA 1900ML ROSA
3597	COMEDOURO ANTIFORMIGA 1900ML VERM. ASTRA
3598	COMEDOURO P/ GATOS FOCINHO 200ML AZUL
3599	COMEDOURO P/ GATOS FOCINHO 200ML VERMELH
3600	COLEIRA DE NYLON 2
3601	COLEIRA DE NYLON 4
3602	COLEIRA DE NYLON 6
3603	COLEIRA DE NYLON 8
3604	COLEIRA SOLA FORRADA 2
3605	COLEIRA SOLA FORRADA 4
3606	COLEIRA SOLA FORRADA 8
3607	DENTAL BONE DE CORDA P
3608	GUIA CORDA ROLICA GROSSA 1,0M - 16MM
3609	GUIA CORDA ROLICA GROSSA 0,6M - 16MM
3610	GUIA CORDA ROLICA GROSSA NO 1,0M - 16MM
3611	GUIA CORDA ROLICA GROSSA NO 0,6M - 16MM
3612	CONJUNTO GUIA PEITORAL AJUST. 1
3613	CONJUNTO GUIA PEITORAL AJUST. 2
3614	CONJUNTO GUIA PEITORAL AJUST. 3
3615	OSSO REX BORRACHA G
3616	OSSO REX BORRACHA M
3617	OSSO REX BORRACHA P
3618	PA DOSADORA TRADICIONAL
3619	PA HIGIENICA AZUL
3620	PA HIGIENICA ROSA
3621	PA HIGIENICA VERMELHA
3622	PNEU TRATOR - 98MM
3623	BOCAL DE SAIDA DA CALHA 75MM ASTRA
3624	CABECEIRA P/CALHA (PAR) ASTRA
3625	CALHA 3,00M ASTRA
3626	CALHA 1,00M ASTRA
3627	EMENDA DA CALHA S/VEDACAO ASTRA
3628	ESQUADRO EXTERNO DA CALHA ASTRA
3629	ESQUADRO INTERNO DA CALHA ASTRA
3630	SUPORTE FIXACAO DA CALHA ASTRA
3631	SUPORTE PROLONGADOR RETO CALHA ASTRA
3632	SUPORTE PROLONGADOR TORCIDO CALHA ASTRA
3633	ARMARIO PLAST VERSAT 35,5X30,5X10 ASTRA
3634	ANEL VEDACAO P/ BACIA C/ GUIA ASTRA
3635	BRACO P/CHUVEIRO ELETRICO 30CM ASTRA
3636	CAIXA SIFONADA 7ENTR.VIR.QUAD15X18 ASTRA
3637	LAVATORIO PLASTICO 50X40CM 8 LTS ASTRA
3638	RALO DE PIA ASTRA
3639	ASSENTO ELEVADO 13CM C/ TAMPA ASTA
3640	ASSENTO ELEVADO 7 CM C/ TAMPA ASTRA
3641	TORNEIRA BOIA 1/2" HASTE ALUM. ASTRA
3642	ASSENTO SANITARIO INFANTIL FOFINHO ASTRA
3643	CESTO VALVULA CROMADO ASTRA
3644	VARAO AL.P/CORTINAS EXTENS.105/118 ASTRA
3645	VARAO AL.P/CORTINAS EXTENS.120/133 ASTRA
3646	VARAO AL.P/CORTINAS EXTENS.135/148 ASTRA
3647	VARAO AL.P/CORTINAS EXTENS.150/163 ASTRA
3648	VARAO AL.P/CORTINAS EXTENS.90/103 ASTRA
3649	VALVULA DE RETENCAO PP 1" ASTRA
3650	VALVULA DE RETENCAO PP 3/4" ASTRA
3651	REVEST MANDALA NERO A 30X60 CX2,37 POINT
3652	PSI190034A MANDALA BLU 30X60 2,37 POINT
3653	TINTA HPISO 3,6T VERDE FOLHA#
3654	CAIXA DESCARGA CONTRAL 9 LTS PRETA ASTRA
3655	PAPELEIRA PVC HERC #
3656	PSI67467C VITORIA 62X62 3,08 ELIZABETH #
3657	CABO FLEXICOM 2,5 MM2 AMARELO(PC100)
3658	CABO FLEXICOM 2,5 MM2 BRANCO(PC100)
3659	CABO FLEXICOM 2,5 MM2 VERDE(PC100)
3660	REJ CERAMICAS CINZA OUTONO 1KG QUARTZOLI
3661	FITA VEDA TUDO SIKA 50CM METRO
3662	DECORATTO CIMENTO QUEIM CZ CLARO 5KG IQ#
3663	ZARCOFER ANTICORROSIVO LARANJA 3,6LT#
3664	ZARCOFER ANTICORROSIVO PRETO 3,6LT#
3665	PINTALAR TUCUNARE 3,6L IQUINE #
3667	TINTA DIAPISO 18L IQUI AZUL PROFUNDO#
3668	TINTA ACR DIAPISO 18L IQUI CERAMICA#
3669	LAMPADA LUZ NEGRA 26W TASCHIBRA #
3670	TINTA ACR IQUI SELA E PINTA 18LT MARAJO#
3671	SALDO#
3672	CONDUTOR CALHA AMANCO 3MT #
3673	PLUZIE INTER.1TC PARALELO IDEALE BC
3674	TINTA SPRAY U.G. 250ML/120G BC/BRI CHEMI
3675	TINTA SPRAY U.G. 250ML/120G PT/BRI CHEMI
3677	BENJAMIM 10A 2P+T 3 SAIDAS BRANCO PLUZ
3678	BENJAMIM 10A 2P 3 SAIDAS PRETO PLUZIE
3680	MECANISMO 1/4VOLTA 3/8X16DENTES M18 REAL
3681	REPARO TORN MVS CURTO P/VOLANTE 1996
3682	1167 TORN COZ/PAREDE AQUADU AZUL C17 1/2
3683	ACABAM.COMPLETO P/REG DOCOL C40 3/4 DN20
3684	ACABAM.COMPLETO P/REG DOCOL C42 3/4 DN20
3685	ACABAM.COMPL. REG DOCOL C50 3/4 DN20 REA
3686	ACABAM.COMP.P/REG C50 T CR 3/4DN20 REAL
3687	PUXADOR H REDONDO 1" 40CM INJET - REAL
3688	PUXADOR H REDONDO 1" 60CM HT TORRES
3689	PUXADOR H REDONDO 1" 80CM HT TORRES
3690	PUXADOR BARRA CHATA 2,5" 40CM REAL
3691	CONJ BARCELONA 5000 BRANCO C/FRESNO NEGR
3692	CONJ BARCELONA 8000 BRANCO C/GRIGGIO
3693	CONJ REAL 6000 BRANCO C/FRESNO NEGRO
3694	CONJ MARANATA 6000 BRANCO
3695	1603 VALVULA PARA LAVATORIO ABS CR
3696	ESQUADRO CALHA TIGRE#
3697	EMENDA CALHA TIGRE#
3698	PERFIL CALHA TIGRE#
3699	KIT PINTURA  TIGRE 7PCS#
3700	LAVATORI 470X425+COLUNA PARATI BR LOGASA
3701	DISCO DIAM 110MM VIDEA TURBO BR
3702	KIT 1522 7 PECAS TIGRE
3703	TECBOND MF QUARTZOLIT - CJ 1KG
3704	PRIMER PARA MANTA QTZ - FR 1L
3705	PISO MUSCOVITA 60X60 66660 CX 2,20MT#
3706	SUPORTE METAL CALHA TIGRE#
3707	BUCHA RED SOLD LGA DN50XDN20 KRONA
3708	CAP SOLD DN32 PLASTUBOS
3709	CAP SOLD DN40 PL - PLASTUBOS PR
3710	TE RED SOLD DN50XDN25 PL - PLASTUBOS PR
3711	7582 FITA VEDA ROSCA 18MM X 20M CENSI
3712	7580 FITA VEDA ROSCA 12MM X 5M CENSI
3713	OBTURADOR PVC MECANI SAID S/CORRET CENSI
3714	9586 CORRENT P/ MECANI DE SAID CX ACOPL
3715	9546 ACIONADOR C/HAST P/CX .ACOPL DUAL
3716	MECANISMO SUPER SAIDA P/CX ACOPL CENSI
3717	DILUENTE STAR 900ML 2001
3718	PSI40259 CIMENTO BRC C 60X60 MATE CX2,2
3719	PSI190435 PARQUET MARFIM A 60X60 2,2 PON
3720	PSI190623 REFLORESTA BEGE A 60X60 2,20M
3721	PIS190385 TRAVER ROMA BEGE A 60X60 2,2
3722	PSI211124 TRAVER ROMA BRANCO A 60X60
3723	PSI40660 DECK MARFIM C 60X60 CX2,20 POI
3724	CABIDE DE FIXACAO SIMPLES
3725	PULVERIZADOR BORRIFADOR 1L - MARANGUAPE
3726	DISCO DE CORTE DE TUNGS. MADEIRA S. MARM
3727	RATOEIRA ADESIVA COLA RATO SIGMA
3728	BOMBA DAGUA PERIFERIC ECOBOMB 1/2CV 220V
3729	BOMBA AUTOMATICA P/BOTIJAO DE AGUA
3730	BORRIFADOR PLASTICO 500ML MARANGUAPE
3731	PISO SALEM ARIELI 540X540MMHD A CX 2,62M
3732	PARAFUSO SEX JOMARCA SOB1 4X60MM
3733	SOLDA CAST BRANCA 50X50 -ZIN
3734	CHUMBINHO P/CARABINA PUMA/LDW 4.5 C/200
3735	ABRACA PLASNETAL TIPO U PVC DN 20
3736	COLA BRANCA SOLUFIX 500G SOLUT
3737	CONJ.P/JARDIM-ESCARDILHO/PA/GARFO TRAMO
3738	NIVELADOR P/PISO CORTAG SLIM 1,0MM C/100
3739	NIVELADOR P/PISO CORTAG SLIM 1,5MM C 100
3740	NIVELADOR P/PISO CORTAG SLIM 2,0MM C/100
3741	SPRAY TINTAS LUX ALTA TEM.ALUMINIO 400ML
3742	TRENA THOMPSON FIBRA DE VIDRO ABERTA 20M
3743	SILICONE POLYSTIC USO GERAL INCOL.250G
3744	DISJUNTOR DECORLUX BR DR UNIC BIP 25A
3745	CAMARA DE AR 3,50 X 8 50/1 LOTUS
3746	MANGUEIRA JARDIM FLEX 3/4 S/ ENG TRAMONT
3747	TUBO SOLD PVC 25MM KRONA/TIGRE METRO
3748	TUBO PVC SOLD 40MM KRONA/TIGRE METRO
3749	TUBO PVC ESGOTO PRIM. 50MM 6M KRONA
3750	TUBO PVC ESGOTO PRIM. 75MM 6M KRONA
3751	BUCHA RED.SOLD.LONGA 40 X 20MM KRONA
3752	JUNCAO RED.45 SIMPLES ESG.PRIM DN 100X50
3753	MULTISIFAO DUPLO TUBO EXTENSIVEL KRONA
3754	CAIXA PASSAGEM ELETRICA PAREDE 25X20 SOB
3755	CAIXA PASSAGEM ELETRICA PAREDE 30X50 SOB
3756	ALICATE BOMBA D AGUA 10" - KALA
3757	BROCA ACO RAPIDO " 5/32" STANLEY
3758	BROCA CONCRETO ATC 10,00MM STANLEY
3759	BROCA CONCRETO STAND 12,00MM - IRWI/STAN
3760	BROCA CONCRETO ATC 5,00MM STANLEY
3761	BROCA CONCRETO ATC 7,00MM - STANLEY
3762	BROCA CONCRETO STAND 8,00MM - STANLEY
3763	COLA CONTATO LATA 200GR - TEKBOND
3764	DIALINE SECACRAP LARANJA CINTRICO 3,6LT#
3765	KIT CINTA CATRACA 25MM 4;6M 800KG - WORK
3766	KIT TAMPA + CORPO HIDROMETRO TAF
3767	PORCA SX UNC ZINC 3/8"X9/16" % - CISER
3768	ROLO LA MICROFIBRA 23CM SEM CB - WORKER
3769	TINTA SPRAY METALICO CROMADO 350ML KALA
3770	ROLO LA NATURAL TIGRE 23CM 1391 S/C
3771	SUPORTE P/ROLO 1305 230MM TIGRE
3772	TANQUE SIMPLES 0,59 X 0,59M MARMORIZADO
3773	BOB ALUM 1100H14  0,40X100MM
3774	BOB ALM 1100H14  0,40X050MM
3775	PORTA KDK 2.10 X 0.60 MOGNO
3776	PSI6278 A ESMALTADO 35 X 35 2,10 INCENOR
3777	PISO ESM HD CALACATA 33 X 50 RVI 66710 A
3778	LAVAT SUSP 380X280MM BR C/F.A S/LAD CELI
3779	PAINEL SOBREPOR HOME LED QUAD LLUM 18W
3780	PLAFON SOBREP HOME LED QUAD PTO 18W 6.5K
3781	PAINEL SOBREP HOM LED QUAD 12W 6.5K LLUM
3782	LUMINARIA EMBUTIR FRAM QUAD 10W 6.5 LLUM
3783	LUMINARIA EMBUTI FRAM QUAD 16W 6.5K LLUM
3784	LUMINARIA SOBRE FRAME QUAD 16W 6.5K LLUM
3785	LUMINARIA EMBUT FRAME QUAD 24W 6.5K LLUM
3786	LUMINARIA SOBREP FRAME RED 24W 6,5K LLUM
3787	ARANDELA SENSITIVE BRANCA LED 4W 3K LLUM
3788	ARANDELA SENSIT PRETA LED BIV 4W 3K LLUM
3789	LUMINARIA LINEA LED 18W 6500K BIVOL LLUM
3790	PENDENTE FIRST 1/2 COBR 1 LUZ 10X23 LLUM
3791	PENDENTE FIRST 1/2 COBR 2 LUZ 25X23C LLU
3792	PENDENTE FIRS 1/2 COBRE 3 LUZ 28X23 LLUM
3793	PENDENTE FIRST 1 LUZ E27 10X23CM LLUM
3794	PAINEL EMB SLIMTECH 30W 6,5K FACH 62X31
3795	PAINEL SOBREP HOMET 30W 6,5K 59,5X29,5 L
3796	ARANDELA LED GRECI BC 12W 3K 160X108X130
3797	ANTIFERRUG.PRATIK 300ML
3798	ANTIFERRUG.PRATIK 300ML
3799	ARCO SERRA PRATIK MINI - MARTINS
3800	ARCO DE SERRA FIXO 12 TRAMONTINA
3801	BAND.P/PINT.THOMPS.GD.23CM 6X1
3802	BOMBA SUBM.LOREN.BSL-POP 220V
3803	ESPATULA PRATIK 10 CM CB.PLASTICO
3804	ESPATULA PRATIK 6CM CB.PLASTICO
3805	FITA CREPE 423 USO GERAL 48MMX50M ADERE
3806	PRUMO PAREDE CORTAG ACO 750G
3807	ROLO TEXT.MED.CONDOR 23CM S/SUPORTE
3808	PISO CERAMICO 54X54HD LOGAN A 2,62M
3809	ALICATE CORTE DIAGONAL 6 FLEX MIN/6 LOTU
3810	DISJUNTOR DR BIP. 40A DIN OUROLUX
3811	FITA CREPE 18MMX50M BG 423 ADERE
3812	FITA CREPE ADERE TAPEFIX BR 48MMX50M
3813	FITA ISOLANTE 18MMX10M VERDE DECORLUX
3814	FOICE ROCADEIRA S/C RAMADA
3815	MANGUEIR JARDIM PAREDE DUPLA 10M AZ KALA
3816	MANG.P/JARDIM 10M VD TRANC. PLASTMAN
3817	MARTELO DE BORRACHA 40MM PT THOMPSON
3818	MASSA PLASTICA CINZA 500G ROYALFIX
3819	PITAO 5,5X70MM  ZINC
3820	PITAO 6,3X70MM
3821	REBITE AL 310 C/1000 REBIPAR
3822	REBITE AL 312 C/1000 REBIPAR
3823	REBITE REPUXO ALUMINIO 4 X 10MM W-MAX
3824	REBITE REPUXO ALUMINIO 5 X 10MM W-MAX
3825	REBOLO CONICO 100MM G-120 CORTAG
3826	REBOLO CONICO 100MM G-60 CORTAG
3827	SIFAO TRIPLO BR PLASBOHN
3828	SODA CAUSTICA 300G GRANULADO NORDEST QUI
3829	SOLDA ESTANHO LIGA 63/37 C/4MT
3830	SUPORTE P/ANTENA PARAFUSAR DHON
3831	LIXA DISCO VELCRO 115MM G40 PLUS LOTUS
3832	SUPORTE DISCO LIXA C/ VELCRO 115MM LOTUS
3833	ENGATE RAPIDO LATAO 1/4 NPT JG/5 LOTUS
3834	GARRA JACARE BATERIA 600A PLUS PAR LOTUS
3835	ALMOTOLIA ACO 1.1/2 PINT (0,68 L) LOTUS
3836	CHAVE CANO STILLS 14 36CM FLEX 24/6 LOTU
3837	MISTURADOR TINTA/ARG 6X40CM LOTUS
3838	CHAVE CANO STILLSON 10 25CM F 24/1 LOTUS
3839	LIXA DISCO VELCRO 115MM G60 PLUS LOTUS
3840	LIXA DISCO VELCRO 115MM G80 PLUS LOTUS
3841	VEDA 1 SUPER CINZA GALAO 3,6KG REJUNTAMI
3842	VEDA 1 SUPER CINZA BALDE 18KG REJUNTAMIX
3843	REJUNTE ACQUAMIX PISCINA AZUL CELESTE 4K
3844	ATCLLORO 3 EM 1 BALDE 10KG UN 001
3846	GRELHA ROTATIVA 10X10 INOX DUDA
3847	SPUD P/VASO SANITARIO PLASBOHN#
3848	CABIDE SIMPLES MONACO CROMADO DUDA
3849	PAPELEIRA C/PRO P/SANIT MON CR.CRIS DUDA
3850	SABONETEIRA DE P/BOX MONACO CROM DUDA
3851	ASSENTO SANIT.UNIV.PRETO - DUDA
3852	ASSENTO ALMOFADADO PRETO DUDA
3853	SPOT EMBUTIR QUADRADO LED16 5W 3000K
3854	SIFAO TRIPLO BR.ANEL PLASTICO - DUDA
3855	GRELHA ROTATIVA 10X10 INOX DUDA
3856	SPUD P/SANITARIO TRANSPARENTE DUDA
3857	CABIDE SIMPLES MONACO CROMAD DUDA
3858	PAPELEIRA C/PRO P/SANIT MONACO CRI DUDA
3859	SABONETEIRA DE P/BOX MONACO CROMADA DUDA
3860	PORTA SANFONADA 94 CM BRANCA DUDA
3861	PORTA SANFONADA 94 CM BEGE - DUDA
3862	PORTA SANFONADA 94 CM CINZA CLARA DUDA
3863	ASSENTO ALMOFADADO FLORENZA BRANCO
3864	ASSENTO FIT ALMOFADADO PRETO - DUDA
3865	CESTO MULTIUSO 6 L BRANCO - DUDA
3866	FONTE AUTOVOLT/12VDC 1A TASCHIBRA
3867	DRIVER PARA PAINEL LED 12W LUX AUTOVOLT
3868	DRIVER PARA PAINEL LED 18W LUX AUTOVOLT-
3869	DRIVER PARA PAINEL LED 24W LUX AUTOVOLT-
3870	FITA LED ULTR 240 12V 16W 6500K C/5MT B#
3871	FITA LED ULTR 240 12V 16W 3000K C/5MT B#
3872	A39 CABO DE FORCA FITA LED 2 PCS UNICA T
3873	FITA LED 2,5W 30 LEDS/M 40M 12V IP20 300
3874	PENDENTE TASCHIBRA DOT METAL VINTAGE CRO
3875	PENDENTE TASCHIBRA GOTHICS 1XE14 COBRE-7
3876	LAMP.TASCHIBRA LEDBULB 06W BR BIV.500 LM
3877	COLA BRANCA 1KG EXT.TEKBON
3878	GRAMPO MET.GAL.1X10 1KG
3879	TEXTURAX LISA PALHA BD 25KG HIDRACOR#
3880	TINTA ECON ACR BRANCO NEVE 15LTS #
3881	PENDENTE FIRST 1/2 COBRE 1 LU E27 10X23#
3882	PENDENTE FIRS 1/2 COBRE 2LUZ E27N25X23 #
3883	PENDENTE FIRS 1/2 COBRE 3LUZ E27 28X23 #
3884	PAINEL EMBU SLIMTEC 30W 6,5K FACH 62X31#
3885	PAINEL SOBR HOMET 30W 6,5K F 59,5X29,5#
3886	ARANDELA LED GREC BC 12W 3K 160X108X130#
3887	SIFAO COMPAC UNIV BR ANEL PLAST#
3888	PINTALAR TAQUARITINGA 3,6L #
3889	PINTALAR ONCA 3,6 #
3890	PINTALAR VERDE TROPICAL 3,6L#
3891	PINTALAR VERDE LIMAO 3,6L IQUINE#
3892	TINTA PINTALAR ARARA AZUL 3,6L #
3893	TINTA EXT SELA E PINTA BRANCO NEVE 3,6L#
3894	TINTA SELA E PINTA BRANCO GELO 3,6L #
3895	SELA E PINTA CAMURCA 3,6L #
3896	TINTA ACR SELA E PINTA MARAJO 3,6L
3897	TINTA ACR SELA E PINTA BRANCO GELO 15L #
3898	TINTA PLURAL LATEX BRANCO NEVE 15LT#
3899	NERVURA CONCRETO 1MT #
3900	PREGO TELHEIRO 18X27 ARRUELA 500G - WORK
3901	DELANIL RENDE MUITO CAJU 3,6L #
3902	TINTA ACR RM DELANIL TROPICAL 3,6L #
3903	DELANIL RENDE MUITO BOI GARANTIDO 3,6L#
3904	DELANIL RENDE MUITO RONDON 3,6L #
3905	TINTA DELANIL  3,6 ESTUCO ENVELHECIDO#
3906	DELANIL RENDE MUITO MARFIM BD 15L#
3907	DELANIL RENDE MUITO PEROLA15 E 18L #
3908	DELANIL RENDE MUITO RONDON BD 15L #
3909	DELANIL RENDE MUITO CARANGUEJO BD 15L #
3910	DELANIL RENDE MUITO CACOAL BD 15L #
3911	DELANIL RENDE MUITO ARARA AZUL BD 15L #
3912	DIALINE SECA RAP AZUL CEU 900ML #
3913	DIALINE SECA RAP VERDE COLONIAL 900ML #
3914	ESMALTE DIALINE SEC RAP MARFIM 3,6L #
3915	DIALINE ESM SECA RAP CERAMICA 3,0L IQUIN
3916	VERNIZ EXTRA RAPIDO IQUI 900ML INCOLOR
3917	VERNIZ EXTRARRAPID CANELA 900ML IQUINE #
3918	VERNIZ EXTRARRAPIDO MOGNO 900ML IQUINE #
3919	VERNIZ EXTRA RAPIDO IQUI 900ML MOG COLON
3920	VERNIZ EXTRARRAP NOGUEIRA 900ML IQUINE #
3921	VERNIZ EXTRARRAPIDO CITIN 3,6L IQUI#
3922	VERNIZ EXTRAR.MOGNO COLON. 3,6LT IQUINE#
3923	VERNIZ SOL E CHUVA BA INCOLOR 900ML IQU#
3924	VERNIZ SOL E CHUVA CANELA 900ML IQUINE#
3925	VERNIZ SOL&CHUVA IQUINE 3,6L INCOLOR
3926	VERNIZ SOL&CHUVA IQUINE 3,6L CANELA
3927	VERNIZ SOL&CHUVA IQUINE 3,6L MOGNO#
3928	VERNIZ SOL&CHUVA IQUINE 3,6L IMBUIA#
3929	SELADORA P/MADEIRA INCOLOR 900ML IQUINE
3930	SELADORA ACABAMENTO INCOLOR 3,6LT IQUIN#
3931	SELA E PINTA GESSO BRANCO NEVE 3,6LT IQ#
3932	SELADOR ACRILICO BALDE 15LT IQUINE #
3933	DIAPISO BRANCO NEVE 3,6 LT IQUINE
3934	DIAPISO SR BRANCO NEVE 18LT IQUINE#
3935	DIAPISO SR CINZA MEDIO 18LT IQUINE#
3936	TINTA PLURAL LATEX BRANCO NEVE 3L #
3937	PREGO CC 1 X 10 FERRO E ACO #
3938	LAVAT+ COLUNA 455X360MM IZY PRETO DEXCO
3939	ARAME GALV 1.24 - 18 KG - 6214 #
3940	ARAME GALV 1.65 - 16 KG IMP #
3941	GRAMPO 7/8 X 12 FERRO E ACO #
3942	PIA 1000X530/01 CUBA N4-110 GHELPLUS
3943	PIA 1200X530/01 CUBA N4-110 GHELPLUS#
3944	PIA 1500X530/01 CUBA N4-110 GHELPLUS
3945	CUBA INOX N1 PROF.170 POLIDA 3.1/2 GHELP
3946	CUBA INOX N3 PROF.140 POLIDA 3.1/2 GHELP
3947	CUBA INOX N3 PROF.170 POLIDA 3.1/2 GHELP
3948	CHAVE P/ MANDRIL 10MMX3/8 FERTAK #
3949	GRAMPO 6MM FERTAK C/1000UN #
3950	PISO ENCAIXE POLIEDROS ALPHAVILLE 35X59
3951	RVE35600 A ENCX JERICOACOARA 35X59 2,05
3952	RVE35520 A ENCAIXE MORRO BRC 35X59 2,05
3953	PSI60800 A ESMALTADO 35X35 2,10
3954	CHAPA ALUM ROLO 500X0,4MM
3955	MANTA AUTOADESIVA ALUM FLEX 30CMX10M - K
3956	PRIMER ASFALTICO 1LT - WORKER
3957	BARAUNAS C HD 62,5X62,5 CX 2,34 ELIZABET
3958	PISO ACARI BR C ESM 62,5X62,5 CX2,34 ELI
3959	ITAUNAS BEGE HD C 62,5X62,5 CX 2,34 ELIZ
3960	ITAUNAS BEGE HD AC 62,5X62,5 CX 2,34 ELI
3961	CABO FLEX COBRECOM 10MM BRANCO
3962	MASSA ACRILICA BALDE 25KG #
3963	DELANIL RENDE MUITO AREIA BD 15L #
3964	DIAPISO SR CINZA ESCURO 18L #
3965	DELANIL RENDE MUITO BRANCO GELO 15L #
3966	SELADOR ACRILICO 3,6L IQUINE #
3967	TUBO PVC ESG 100MM 6M KRONA PROMOCAO
3968	CUBA DE SOBREPOR RETANGULAR 390X310 MM,
