	Descricao
215	PORTA CARTA COLONIAL PQ OURO #
216	9610 TORNEIRA BOIA P/ CX DAGUA 1/2E3/4E1
217	ACIONADOR P/CAIXA ACOPLAD CONVEN CENSI
218	ACIONADOR C/ALAV.P/CX. ACOPL SAIDA CENSI
219	VEDANTE P/ CAIXA ACOPLADA CESI
220	MVS P/ REGIS PRESSA N2 C/ CARRAP PINO
221	9481 VEDANTE MECANISMO DE SAIDA P/ CAIXA
222	KIT CHAVES ESP P/ INST CX ACOP 01U CENSI
223	30051 KIT COMP REPAROS P/ REG ACAB DECA
224	7573 ENGAT MULT 1,0M P/ GAS ROSC 1/2X1/2
225	VEDACIT FIXA CUBA BRANCO CX 12 BI 400 G
226	COLA MADEIRA TEKBOND 100G
227	VEDACIT COMPOUND ADESIVO TIX CX 6 LT 1 K
228	SILICONE ACETICO MULTIUSO TR 250G QUATZO
229	VEDA CALHA CINZA PULVITEC 285G
230	7561 DUCHA HIG C/ SUP ABS BRANCA AVULSO
231	FECHADUDA RES SOAVE 32 ESP EXTER. CIL 3F
232	VEDACIT FIXA ESPELHO BRANCO BI 400
233	LUVA SOLD C/BUCHA LATAO 25M X1/2 KRONA
234	TE SOLD C/BUCHA LATAO 20MM X 1/2 KRONA
235	ADESIVO PLASTICO 17G. KRONA
236	ADESIVO PLASTICO 75G KRONA
237	ADESIVO PLASTICO 175G C/ PINCEL KRONA
238	ADESIVO FRASCO 850G KRONA
239	REGISTRO ESFERA SOLD 20MM KRONA
240	REGISTRO ESFERA SOLD 25MM KRONA/FORTLEV
241	REGISTRO ESFERA SOLD 32MM KRONA
242	REGISTRO ESFERA SOLD 40MM KRONA
243	REGISTRO ESFERA SOLD 50 MM KRONA
244	ANEL DE VEDACAO P/ESG. DN 75 KRONA
245	ANEL DE VEDACAO P/ESG. DN 100 - PLASTILI
246	TORNEIRA BOIA 1/2 E 3/4 CX DAGUA KRONA
247	TORNEIRA BOIA P/ BEBEDOURO 1/2 KRONA
248	ADAPTADOR N1 P/VALV PIA/LAV DN 40 KRONA
249	ENGATE PVC 40CM X 1/2 KRONA
250	ENGATE PVC 50CM X 1/2 KRONA
251	ENGATE PVC 60CMX1/2 KRONA
252	ENGATE PVC 1MT X 1/2 KRONA
253	KIT CHUVEIRO FRIO KRONA
254	TORNEIRA ESF JD/TANQUE 1/2 E 3/4 KRONA
255	ESPUDE P/VASO SANITARIO KRONA
256	VALVULA P/ PIA V2 KRONA
257	VALVULA P/ LAVATORI E TANQUE V8 KRONA
258	TAMPA VALVULA P/ PIA E LAVATORIO KRONA
259	CAIXA SIF N05 100X100X50 QD BRAN KRONA
260	CAIXA SIF N09 100X150X50 QD BRANCA KRONA
261	VALVULA P/POCO C/FILTRO 3/4 KRONA
262	VALVULA P/POCO C/FILTRO 1 KRONA
263	CAIXA LUZ P/ELET.CORRG 4X4 KRONA
264	CAIXA DE CENTRO P/LAJE 300
265	QUADRO DISTR 4D/3N EMBUTIR KRONA
266	QUADRO DISTR 8D/6N EMBUT S/BARRAMENT KRO
267	QUADRO DISTR 12D/9N EMBUT S/BARRAM KRONA
268	QUADRO DISTR 16D/11N EMBUT S/BARRAM KRON
269	COLAR DE TOMADA 50MM X 1/2 KRONA
270	COLAR DE TOMADA 50MM X 3/4 KRONA
271	COLAR DE TOMADA 60MM X 1/2
272	COLAR DE TOMADA 60MM X 3/4
273	ENXADA EST BAHIA VIRADA 2.5 C/C15CM TRA
274	ENXADA EST.BAHIA VIRADA P/MASS 2.5 TRAMO
275	DISCO DIAMANTADO 110MM TURBO BOSCH
276	FURAD.IMPC. BOSCH GSB 550W RE.220V
277	MALA XLINE COM BOSCH
278	SERRA MARMORE 220V TITAN GDC 150
279	DISCO DIAMANT PORCEL TURBO 110MM BOSCH
280	DISCO DIAMANTADO LISO CERAM 110MM BOSCH
281	PARAFUSADEIRA GSR 1000 SMART CARTON BOX
282	DISCO DIAMANTADO STANDARD SEGMT 105MM
283	MARTELO PERFURADOR GBH 220 220V
284	FURAD IMPAC GSB 450 RE 450W 220V+BROCAS
285	BOMBA SUBMERSA SAPECA 220V RAYMA
286	ADESIVO SILICONE ACETICO 5OG TEKBOND
287	ABRAC NYLON BRANCA 2,5X60 100 PCS FERTAK
288	ABRAC NYLON BRANCA 2,5X80 100 PCS FERTAK
